Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
1,2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2,2007-10-09,32.98216247558594,33.27332333144522,29.2294103669374,30.895501630729346,116725709
3,2007-10-10,33.28950119018555,33.96887948189164,32.99834031886197,33.839472943776364,67931378
4,2007-10-11,37.00990295410156,38.8215770162382,32.99834178018052,38.8215770162382,106320954
5,2007-10-12,36.76726531982422,38.14219575573812,35.90995663148673,36.23346967523118,99410791
6,2007-10-15,37.25254821777344,37.7539962477967,36.929035058246704,37.52753528095677,41814972
7,2007-10-16,41.05381393432617,41.700844422111814,37.042252992785215,37.301061677558216,138614496
8,2007-10-17,44.25660705566406,45.29184642634732,34.32475013602845,36.88050514839878,204876259
9,2007-10-18,42.70372772216797,48.34903171683244,40.875880023641976,44.96831887841198,146617799
10,2007-10-19,42.55815887451172,44.28895480297188,40.439145478534954,41.733197853020734,110266491
11,2007-10-22,41.99199676513672,43.3022225962064,40.60088830007716,41.70083595689075,72253405
12,2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
13,2007-10-24,44.288944244384766,46.424131030838254,43.78749643606155,45.93885711816935,63055170
14,2007-10-25,44.1919059753418,45.22714981126027,39.031869473945804,42.78462289424035,34522489
15,2007-10-26,45.51830291748047,46.246207379950434,43.755154797660126,44.96832890177674,62370025
16,2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
17,2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
18,2007-10-31,48.46226501464844,49.52986068411947,47.556430253818284,47.7181867745327,44655368
19,2007-11-01,47.378509521484375,50.03131900435608,46.99029638921167,49.6592797737885,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
